ticker,raw_rows,rows_after_dedup,rows_after_cleaning,duplicate_count,output_file,min_date,max_date,missing_required_cols
AAPL,8364,8364,2213,0,AAPL_eng.csv,2009-01-02,2017-11-10,
AMD,8737,8737,2213,0,AMD_eng.csv,2009-01-02,2017-11-10,
BAC,7929,7929,2213,0,BAC_eng.csv,2009-01-02,2017-11-10,
C,12074,12074,2213,0,C_eng.csv,2009-01-02,2017-11-10,
CMCSA,7396,7396,2213,0,CMCSA_eng.csv,2009-01-02,2017-11-10,
CSCO,6964,6964,2213,0,CSCO_eng.csv,2009-01-02,2017-11-10,
F,10305,10305,2213,0,F_eng.csv,2009-01-02,2017-11-10,
GE,14058,14058,2213,0,GE_eng.csv,2009-01-02,2017-11-10,
HPQ,12075,12075,2213,0,HPQ_eng.csv,2009-01-02,2017-11-10,
INTC,11556,11556,2213,0,INTC_eng.csv,2009-01-02,2017-11-10,
JPM,12074,12074,2213,0,JPM_eng.csv,2009-01-02,2017-11-10,
MSFT,7983,7983,2213,0,MSFT_eng.csv,2009-01-02,2017-11-10,
MU,7179,7179,2213,0,MU_eng.csv,2009-01-02,2017-11-10,
NOK,3201,3201,2212,0,NOK_eng.csv,2009-01-02,2017-11-10,
PFE,9042,9042,2213,0,PFE_eng.csv,2009-01-02,2017-11-10,
S,3200,3200,2211,0,S_eng.csv,2009-01-02,2017-11-10,
SIRI,3201,3201,2212,0,SIRI_eng.csv,2009-01-02,2017-11-10,
T,8401,8401,2213,0,T_eng.csv,2009-01-02,2017-11-10,
VALE,3201,3201,2212,0,VALE_eng.csv,2009-01-02,2017-11-10,
WFC,8323,8323,2213,0,WFC_eng.csv,2009-01-02,2017-11-10,
