Date,Open,High,Low,Close,Volume,OpenInt,ticker,log_return,rsi_14,ema_50_200_ratio,macd_line,macd_hist,obv,vwap,bb_width,atr_14
2009-01-30,2.8813,2.8991,2.6217,2.7291,1039381,0,LYG,0.033306610176501134,49.37792251197387,0.8847247047091421,-0.42015209409441345,0.0218217297223402,-5921265.0,2.416759098182096,1.4674290625119968,0.5860571428571427
2009-02-02,2.6038,2.6933,2.55,2.6575,660303,0,LYG,-0.02658605328002272,48.56533346530558,0.8799448475813794,-0.3840271256320289,0.04635735854777984,-6581568.0,2.421228615259438,1.4726826961372423,0.5828714285714286
2009-02-03,2.6933,2.7201,2.6038,2.7022,630946,0,LYG,0.016680424809755647,49.128185913117115,0.8757617798198185,-0.34778189819703176,0.06608206878622158,-5950622.0,2.426137326497496,1.465432272175893,0.5630642857142857
2009-02-04,2.8454,2.9886,2.7469,2.7648,927888,0,LYG,0.022902043583877856,49.954144442217306,0.8722983017830448,-0.31042758156622785,0.08274910833362042,-5022734.0,2.4373871822279196,1.462704602841039,0.5464428571428571
2009-02-05,3.0333,3.1675,2.9617,3.087,794617,0,LYG,0.11023144589242274,54.08614753554267,0.8716240809526518,-0.2519211787179767,0.11300440894549729,-4228117.0,2.4520528044689582,1.4447490232092315,0.5336642857142857
2009-02-06,3.3196,3.3912,3.2034,3.2034,965499,0,LYG,0.03701300023203606,55.51509835599891,0.8719620709094372,-0.19392646219905663,0.13679930037153393,-3262618.0,2.474281341979926,1.3987497955526107,0.5234357142857142
2009-02-09,3.2659,3.2659,3.096,3.096,683638,0,LYG,-0.034101790024577694,53.84979414729498,0.8714577371521954,-0.1548465394312526,0.14070337851147036,-3946256.0,2.4871497950344814,1.3333094059851214,0.3917785714285714
2009-02-10,3.0153,3.0333,2.7828,2.8095,1153317,0,LYG,-0.0971044241573649,49.57740063293667,0.8686918629987714,-0.14531843424928326,0.12018518695475178,-5099573.0,2.4991835343684876,1.2325164338662986,0.40264999999999995
2009-02-11,2.738,2.7917,2.5681,2.7022,915099,0,LYG,-0.03894027552639421,48.04012718093367,0.8652110175980462,-0.14475688820358945,0.09659738640035648,-6014672.0,2.5037018768726904,1.1498694560235294,0.4032785714285714
2009-02-12,2.6665,2.7917,2.6217,2.7917,636978,0,LYG,0.032584473226521436,49.44815861614876,0.8626519201125394,-0.13552767818826128,0.08466127713254773,-5377694.0,2.507505231195925,1.1040072773327239,0.40647857142857136
2009-02-13,1.9238,2.0669,1.7717,1.9954,5718663,0,LYG,-0.33580619777297344,39.25558067523696,0.8536933996450976,-0.1902748477980385,0.023931286018216424,-11096357.0,2.4351127537094834,1.1136258717663705,0.44291428571428565
2009-02-17,1.5747,1.5838,1.5121,1.5659,2236461,0,LYG,-0.24238379292800946,35.058059229716804,0.8415511793641516,-0.2652616633293676,-0.04084442361049015,-13332818.0,2.3929113405223426,1.1539560574751178,0.4557071428571428
2009-02-18,1.6374,1.6374,1.4674,1.4854,1606245,0,LYG,-0.05277664231620117,34.317391901679116,0.8292165771009666,-0.3274107448615555,-0.08239480411414243,-14939063.0,2.364219478980831,1.1367758280076419,0.3559928571428571
2009-02-19,1.718,1.7539,1.6018,1.6196,1155890,0,LYG,0.08649510892280986,36.71765687346173,0.8185089602850661,-0.3616664555222546,-0.09332041181987322,-13783173.0,2.347725176273459,1.0880453937910155,0.3144571428571427
2009-02-20,1.6821,1.7717,1.6285,1.709,1320393,0,LYG,0.05372919895758489,38.334328983075174,0.8090060167224069,-0.3772517962903552,-0.08712460207037903,-12462780.0,2.3309628089602747,1.0475835375011848,0.30550714285714287
2009-02-23,1.8253,1.8432,1.6018,1.6285,916899,0,LYG,-0.04824905839930276,37.40762178097746,0.7992106377978607,-0.39158502001134154,-0.08116626063309229,-13379679.0,2.319615475269228,1.0219095083001426,0.3099571428571428
2009-02-24,1.6196,1.7448,1.5391,1.709,1001878,0,LYG,0.04824905839930281,38.99579948889558,0.7905258541342057,-0.39193059392366614,-0.0652094676363335,-12377801.0,2.307157139774607,1.0301857651814892,0.31634285714285715
2009-02-25,1.7539,1.7717,1.6374,1.709,1420417,0,LYG,0.0,38.99579948889558,0.7822163311228003,-0.38773489720057386,-0.04881101673059296,-12377801.0,2.291380159335503,1.0591323668754902,0.30547857142857143
2009-02-26,2.1117,2.2637,2.058,2.1027,1807677,0,LYG,0.20731382905879778,46.67084943257291,0.7777451256894989,-0.34862277130982555,-0.007759112671875734,-10570124.0,2.286534681641617,1.0252800451725002,0.3163357142857143
2009-02-27,1.7628,1.8253,1.6821,1.709,1376040,0,LYG,-0.20731382905879778,41.10195897550036,0.7700138102926866,-0.3454127265656799,-0.0036392543421840395,-11946164.0,2.2733818189355404,1.065644246286226,0.32465000000000005
2009-03-02,1.5391,1.5569,1.4406,1.4674,1568237,0,LYG,-0.15241627683569703,38.097696417851154,0.7604619214664332,-0.3582343413494329,-0.0131686953007496,-13514401.0,2.2524686474264493,1.1265462998760574,0.3316857142857143
2009-03-03,1.4226,1.4226,1.3154,1.3154,945287,0,LYG,-0.1093513254126434,36.300011922340616,0.7499330624402152,-0.3763226795264536,-0.02500562678221624,-14459688.0,2.238224862723264,1.203763387236407,0.3201714285714286
2009-03-04,1.4584,1.4674,1.3779,1.4048,1200589,0,LYG,0.06575414201360165,38.14861139363279,0.7406451578120155,-0.3790742529753848,-0.022205760184917933,-13259099.0,2.2220604479604065,1.2555765242343198,0.31378571428571433
2009-03-05,1.2259,1.2527,1.1543,1.1632,3046361,0,LYG,-0.18872011610159728,35.177540342805514,0.7295180183938524,-0.3961830441051699,-0.03145164105176246,-16305460.0,2.1729872123398057,1.328175253977055,0.3195357142857143
2009-03-06,1.2616,1.2885,1.1274,1.2349,1499099,0,LYG,0.05981516734452193,36.75184603858151,0.7194956189187958,-0.39935280303471465,-0.02769711998504576,-14806361.0,2.1511270440794235,1.3321526504367855,0.2581857142857143
2009-03-09,1.1095,1.2706,1.1006,1.2259,1256698,0,LYG,-0.007314727022828235,36.63158434916475,0.709793926247351,-0.39800315201900505,-0.021077975175468888,-16063059.0,2.133220748285316,1.2760947584602267,0.23580714285714288
2009-03-10,1.4137,1.4764,1.369,1.4137,1118909,0,LYG,0.14253511277203829,40.97211778324723,0.7022681579250586,-0.3774288880947996,-0.0004029690010107223,-14944150.0,2.121469489672905,1.1595910619371854,0.24155714285714286
2009-03-11,1.4317,1.4317,1.2527,1.2795,1261373,0,LYG,-0.09974100427314322,38.92052771354176,0.6937911131592389,-0.36771367974284597,0.007449791480754309,-16205523.0,2.1068840607826282,1.072220865768497,0.23516428571428574
2009-03-12,1.2259,1.4137,1.181,1.3869,1314240,0,LYG,0.080601664062446,41.44740846039763,0.6867079106165832,-0.34734405861532847,0.02225553008661746,-14891283.0,2.0923523651785403,0.9405667140301507,0.24092142857142856
2009-03-13,1.3779,1.4226,1.2885,1.4137,1009234,0,LYG,0.019139340210697287,42.09120581541807,0.6802017714889048,-0.32528872515513285,0.03544869083745045,-13882049.0,2.0822292086205296,0.6538254227659879,0.23325714285714286
2009-03-16,1.4137,1.5121,1.3333,1.3333,1528138,0,LYG,-0.058553308751574135,40.647294086709636,0.6732069967629069,-0.31071558668739985,0.040017463444146806,-15410187.0,2.067809408363282,0.6080392640198765,0.23133571428571434
2009-03-17,1.4048,1.4854,1.3512,1.4584,841688,0,LYG,0.08968287224304046,43.873577969006995,0.6677595220156882,-0.28577748006239645,0.051964456055320185,-14568499.0,2.0605633730886104,0.6088273886583707,0.23260714285714287
2009-03-18,1.4226,1.5747,1.3779,1.5391,1787431,0,LYG,0.05385788562145515,45.91593783127055,0.6633788764426931,-0.256544747178848,0.06495775115109492,-12781068.0,2.0472586243458477,0.60848168697914,0.20704285714285717
2009-03-19,1.8612,1.8701,1.5838,1.5838,2413291,0,LYG,0.028629192790403966,47.06495590556481,0.6596761018072773,-0.22715221005152264,0.07548023062273623,-10367777.0,2.0358857727270245,0.6067216709086928,0.2006428571428572
2009-03-20,1.718,1.718,1.3154,1.3154,1476830,0,LYG,-0.1856862209090616,41.38022310275208,0.6534806603501463,-0.2229460660338003,0.06374909971236686,-11844607.0,2.0250043505086643,0.6066349831522477,0.2102285714285715
2009-03-23,1.7807,1.9774,1.7717,1.9774,2097451,0,LYG,0.407642048595782,55.618924541821286,0.6542786956528073,-0.16430084133576917,0.09791545952831843,-9747156.0,2.0220207827991636,0.6675755687661412,0.2466571428571429
2009-03-24,1.7985,1.879,1.718,1.8075,1986347,0,LYG,-0.08983817543011283,52.11987825239639,0.6534016288742226,-0.13003463006140548,0.1057453366421457,-11733503.0,2.01678460510809,0.6802501950978449,0.2543285714285715
2009-03-25,1.8165,1.9238,1.7539,1.8432,1738420,0,LYG,0.019558516468652327,52.79193023238212,0.6530004877244513,-0.09885814396255754,0.10953745819279492,-9995083.0,2.013191758036749,0.6977461936611845,0.24857142857142864
2009-03-26,2.0312,2.1206,2.0133,2.0133,1478675,0,LYG,0.08827197533073121,55.963547171674826,0.6544358390702816,-0.0597363027858242,0.11892743949562262,-8516408.0,2.013802397424112,0.6722392469506745,0.25687857142857146
2009-03-27,2.1475,2.3175,2.1385,2.2189,1512616,0,LYG,0.09723641074006752,59.504909320731315,0.6580065583983655,-0.012003392430425475,0.13332827988081708,-7003792.0,2.0174162757413274,0.7789441969406279,0.26646428571428576
2009-03-30,1.9685,1.9954,1.8701,1.8701,1049350,0,LYG,-0.17101967221769657,51.88212216566927,0.6579288676756999,-0.002293523719723689,0.11443051887321509,-8053142.0,2.016177834020654,0.7941768465358497,0.2734857142857143
2009-03-31,2.0491,2.1833,2.0491,2.1117,1518736,0,LYG,0.12150140492752115,56.07910606973585,0.6604297647937639,0.02461299477122192,0.11306962989132857,-6534406.0,2.0178229695571512,0.8257945495125587,0.2830714285714286
2009-04-01,2.1027,2.1923,2.0849,2.1475,1505471,0,LYG,0.01681106457621478,56.682039849189074,0.6632838588562621,0.04826895091345884,0.1093804688268524,-5028935.0,2.019837858935366,0.8579438412599666,0.27412142857142857
2009-04-02,2.3622,2.398,2.2817,2.2907,1210270,0,LYG,0.06455307283611862,59.10061663513606,0.6675906410326156,0.07767610799454516,0.11103010072635097,-3818665.0,2.023760991299401,0.861886351316439,0.2824357142857143
2009-04-03,2.4517,2.5591,2.398,2.5411,1378810,0,LYG,0.10373961043607301,62.99167140669464,0.6744010625705433,0.11980563439146996,0.12252770169862062,-2439855.0,2.030660899701449,0.9058823316609252,0.2888357142857143
2009-04-06,2.4696,2.5143,2.407,2.4517,1159323,0,LYG,-0.03581539666253504,60.76877638541265,0.680080592746519,0.14431616778630874,0.11763058807476752,-3599178.0,2.0358064807977274,0.900023021884294,0.28755000000000003
2009-04-07,2.2907,2.2997,2.1833,2.1833,1386440,0,LYG,-0.11594416779899588,54.54543137673582,0.6828185869351037,0.14046412223769167,0.09102283402092036,-4985618.0,2.0384530366640314,0.8766922744098257,0.29266428571428577
2009-04-08,2.2547,2.2817,2.1743,2.228,658000,0,LYG,0.020266828378103806,55.3652655862249,0.685990892599325,0.13941121906156506,0.071975944675835,-4327618.0,2.039722460495214,0.8256943164636312,0.27669285714285713
2009-04-09,2.4337,2.5321,2.3622,2.5143,1134676,0,LYG,0.12089011272579554,60.30377830300194,0.6920963746480073,0.15983630951831396,0.07392082810606711,-3192942.0,2.044629576919116,0.8131581760806416,0.2696571428571428
2009-04-13,2.5321,2.6843,2.4249,2.6307,1203640,0,LYG,0.04525553568044943,62.137964800455556,0.6992348750826158,0.18330284694718202,0.07790989242794813,-1989302.0,2.0510353709647355,0.8043813781511172,0.24089999999999992
2009-04-14,2.6307,2.7469,2.5771,2.738,1670978,0,LYG,0.03997775639497444,63.798515443590674,0.707260549378118,0.20815893357154103,0.0822127832418457,-318324.0,2.0614327791477596,0.7762672601370508,0.23449999999999993
2009-04-15,2.7022,2.7739,2.6397,2.7739,1505423,0,LYG,0.01302654534992453,64.36169211380289,0.7153860195015447,0.2281247115983578,0.08174284901492995,1187099.0,2.0711202169398355,0.7556262000121191,0.2319499999999999
2009-04-16,2.8991,2.9438,2.7828,2.8813,1284071,0,LYG,0.03798730897524398,66.06263939897022,0.7243429305297823,0.24973522473505616,0.08268268972130266,2471170.0,2.0808767478387478,0.7444835234810991,0.22427142857142848
2009-04-17,3.1407,3.2838,3.087,3.257,2188205,0,LYG,0.12256494510267076,71.23470685276048,0.7368512660944918,0.2937909233494489,0.10139071066855632,4659375.0,2.103901732644513,0.7792303918374676,0.23129285714285705
2009-04-20,3.1228,3.1943,2.9438,3.0333,2477488,0,LYG,-0.07115539051077045,64.89316921831605,0.7465478895533062,0.30711443738238353,0.09177137976119276,2181887.0,2.125426719104943,0.6949148061076811,0.22874999999999993
