Date,Open,High,Low,Close,Volume,OpenInt,ticker,log_return,rsi_14,ema_50_200_ratio,macd_line,macd_hist,obv,vwap,bb_width,atr_14
2009-01-30,56.778,57.091,55.112,55.38,22763133,0,CVX,-0.0014254912689125555,43.957595144237615,0.9768480817895657,-0.9216322343878574,0.09726248436317553,53705126.0,56.71373397868461,0.1375947301941439,2.1264285714285713
2009-02-02,54.594,55.638,54.281,55.2,15795119,0,CVX,-0.003255564459766185,43.29251138199585,0.9756395553156474,-0.9307214069382397,0.07053864945023469,37910007.0,56.646396842708505,0.12795342022496656,2.0899999999999994
2009-02-03,55.419,56.376,54.924,56.26,15923231,0,CVX,0.019020849778661184,48.25739166813081,0.975024028360644,-0.8426776372049076,0.12686593534685342,53833238.0,56.615491393220644,0.11218566731909656,2.0747857142857136
2009-02-04,56.771,57.272,55.765,56.228,15355305,0,CVX,-0.000568949592191257,48.120421312166236,0.974431229613208,-0.7666470183288823,0.1623172433783031,38477933.0,56.60847131381532,0.0839940067909244,2.0147142857142843
2009-02-05,56.134,57.658,55.733,57.525,19004651,0,CVX,0.022804782451910116,53.83928738156757,0.9745215281537843,-0.5948777640148606,0.26726919815385985,57482584.0,56.62406787404884,0.08084222137321992,1.9839285714285704
2009-02-06,56.996,58.897,56.771,58.818,16993882,0,CVX,0.022228294586214403,58.72415391120638,0.9752603437540133,-0.35037617999088155,0.4094166257422711,74476466.0,56.68088907706789,0.08503988955703144,1.9923571428571414
2009-02-09,58.434,59.337,57.79,58.44,18966397,0,CVX,-0.006447343625145322,56.830757286156,0.9757848300564173,-0.18497606510040043,0.45985339250620183,55510069.0,56.753813891452644,0.09155578308744217,1.867142857142856
2009-02-10,58.396,59.087,55.412,55.85,25637965,0,CVX,-0.045331061367288976,45.908537007420314,0.9750045285710229,-0.25989077776341674,0.30795094387454847,29872104.0,56.755296900599305,0.09127573363424915,1.9512857142857136
2009-02-11,56.125,56.62,55.191,55.961,19780076,0,CVX,0.0019854940294823627,46.38412272355395,0.9743259138071826,-0.30676822184112496,0.20885879983747224,49652180.0,56.723937476009816,0.09121586180689205,1.8878571428571418
2009-02-12,54.932,55.019,53.354,54.862,21947441,0,CVX,-0.019834078265193792,42.408439579457564,0.973141143211581,-0.4276691455847228,0.07036630087509954,27704739.0,56.63104116877814,0.09069085678863362,1.9226428571428562
