Date,Open,High,Low,Close,Volume,OpenInt,ticker,log_return,rsi_14,ema_50_200_ratio,macd_line,macd_hist,obv,vwap,bb_width,atr_14
2009-01-30,13.269,13.286,12.824,13.096,1940567,0,ENB,-0.015382004362192338,63.16258538638085,0.9928693560724741,-0.03754541748809537,0.046212586448836857,1535497.0,12.984094341873798,0.09112857573465893,0.4269285714285713
2009-02-02,12.924,13.096,12.786,13.028,1262032,0,ENB,-0.00520595265484673,61.56648218834873,0.9927086363348407,-0.034845747326956555,0.03912980528798053,273465.0,12.983539588852079,0.0897071066280482,0.4178571428571428
2009-02-03,12.98,13.311,12.98,13.269,2462422,0,ENB,0.018329600140312236,64.9472544961776,0.9930931691509993,-0.013108447373619825,0.04869368419305381,2735887.0,12.998026666215612,0.08563269254864923,0.41614285714285704
2009-02-04,13.245,13.6,13.204,13.407,1988664,0,ENB,0.01034647106512469,66.75082603243972,0.9937676413399467,0.015080131762168492,0.0615058106630737,4724551.0,13.020118501541596,0.08635036734803613,0.41799999999999987
2009-02-05,13.381,13.567,13.265,13.435,1419196,0,ENB,0.002086283448030428,67.12048425744477,0.9944735659619532,0.03922696576585416,0.0685221157334075,6143747.0,13.035166213086432,0.09057425947226896,0.4064999999999999
2009-02-06,13.274,13.835,13.156,13.715,2116405,0,ENB,0.020626882322111923,70.63621952463409,0.9957672613631461,0.0800345768426336,0.08746378144814955,8260152.0,13.063358179500144,0.09475302764798645,0.4307857142857142
2009-02-09,13.843,14.081,13.769,13.901,1480284,0,ENB,0.013470655605389027,72.72277767552401,0.9974102114976618,0.12593188379062248,0.10668887071691074,9740436.0,13.09378456389933,0.11062597454690475,0.4184285714285713
2009-02-10,13.818,13.957,13.35,13.47,1623050,0,ENB,-0.03149578957268293,61.76955308965742,0.9980197101066633,0.1260744247465606,0.0854651293382791,8117386.0,13.112535368989105,0.11278412505708366,0.42457142857142866
2009-02-11,13.286,13.498,13.187,13.332,2509840,0,ENB,-0.010297829976779315,58.71994738493953,0.9982949703342535,0.11374080954398735,0.05850521130856467,5607546.0,13.124982674275165,0.11350155666008316,0.41057142857142864
2009-02-12,13.245,13.368,13.051,13.368,1658470,0,ENB,0.0026966308475993186,59.28467013989267,0.9986370233603328,0.10565332402010164,0.04033418062774316,7266016.0,13.12979631568585,0.11107653990272055,0.3946428571428573
2009-02-13,13.773,13.773,13.278,13.395,1532447,0,ENB,0.0020177117034793153,59.72963585428285,0.9990225418034444,0.10026679463221377,0.02795812099188423,8798463.0,13.14084406377303,0.10998121891237306,0.40328571428571436
2009-02-17,13.175,13.175,12.719,12.828,1813876,0,ENB,-0.04325122116566356,47.89264324944063,0.998136212324979,0.04967316853478465,-0.01810840408443591,6984587.0,13.132484637602493,0.1114904130152717,0.43121428571428577
2009-02-18,12.895,12.895,12.596,12.703,1411888,0,ENB,-0.009792095789584785,45.740533700971156,0.9970166714004955,-0.0005032982769890282,-0.054627896716967675,5572699.0,13.121609511047021,0.10800109875975976,0.4197857142857142
