Date,Open,High,Low,Close,Volume,OpenInt,ticker,log_return,rsi_14,ema_50_200_ratio,macd_line,macd_hist,obv,vwap,bb_width,atr_14
2009-01-30,57.43,59.74,57.24,58.82,39781044,0,AMZN,0.162458927697703,62.20677109096216,0.9833019042357782,-0.5194111061741964,0.4604797015760882,-2557624.0,53.12844923403361,0.24721911165674296,3.565714285714286
2009-02-02,58.51,62.0,58.13,61.15,19320594,0,AMZN,0.03884792900733227,65.78250230714326,0.9878631532443773,0.2598946504407209,0.9918283665528045,16762970.0,53.76066993925693,0.286461461530059,3.5107142857142857
2009-02-03,60.68,64.2,60.0,63.59,14693963,0,AMZN,0.03912636314613518,69.08154022871342,0.993518298005098,1.0621439509174735,1.4352621336236457,31456933.0,54.30682577627145,0.3380987104517371,3.6292857142857144
2009-02-04,63.22,63.44,60.83,61.06,13725421,0,AMZN,-0.040599237972584704,62.367097523587006,0.9975154855469728,1.476759283759172,1.4799019731722753,17731512.0,54.71456432482841,0.3558611765310043,3.5900000000000003
2009-02-05,61.15,63.81,60.63,63.18,10168802,0,AMZN,0.034130808067207356,65.40170601084975,1.0024512974974626,1.9538879999883179,1.5656245515211369,27900314.0,55.01872698067712,0.3876745803812521,3.4885714285714293
2009-02-06,63.18,67.0,63.18,66.55,12042781,0,AMZN,0.05196574946718148,69.59842389554521,1.008937767067537,2.574272173672256,1.7488069801640598,39943095.0,55.48333725622641,0.43659221644652285,3.5614285714285723
2009-02-09,66.82,67.36,65.38,66.71,9436015,0,AMZN,0.002401321880303298,69.78581147053472,1.0151615651105552,3.043755247941185,1.7746320435463911,49379110.0,55.849978872766236,0.4784695906165923,3.457857142857144
2009-02-10,66.15,67.23,63.07,63.31,10698369,0,AMZN,-0.05231157216538876,61.15902823501094,1.0192398902634423,3.1056721266653753,1.469239137816465,38680741.0,56.16629611367402,0.4906943254750929,3.5807142857142873
2009-02-11,63.08,64.9,62.25,64.35,8347209,0,AMZN,0.016293639486100315,62.678793564392116,1.0236500692406034,3.2017531897493967,1.252256160720389,47027950.0,56.378109333543065,0.5013210055915142,3.5828571428571445
2009-02-12,63.25,64.25,61.71,63.96,8094722,0,AMZN,-0.006079046076382115,61.70377224459178,1.0276133466555601,3.209432048977618,1.0079480159588883,38933228.0,56.55888791554566,0.4938832640870469,3.5592857142857155
