Date,Open,High,Low,Close,Volume,OpenInt,ticker,log_return,rsi_14,ema_50_200_ratio,macd_line,macd_hist,obv,vwap,bb_width,atr_14
2009-01-30,10.47,10.666,9.989,10.156,2518986,0,DKS,-0.025086390898275274,23.218788484548185,0.9257446415127617,-0.8691309912163359,-0.04942140355430258,-15322162.0,11.521993537844537,0.48269323690330573,0.750214285714286
2009-02-02,9.808,10.203,9.76,10.103,3164510,0,DKS,-0.0052322543968368615,22.90422231632789,0.9212104327305751,-0.8588760495502648,-0.03133316951058518,-18486672.0,11.444254125886081,0.46282265066932005,0.6989285714285717
2009-02-03,10.166,10.461,9.649,10.388,1961034,0,DKS,0.027818884354906863,28.512820094648532,0.9175409028481759,-0.818318747110462,0.007379306343374026,-16525638.0,11.404478325754823,0.43119990702355887,0.6910000000000004
2009-02-04,10.258,10.564,10.027,10.24,2410523,0,DKS,-0.0143496741891402,27.398149679087737,0.9137255722477355,-0.789023780844401,0.02933941808754814,-18936161.0,11.362941407573215,0.3851690096473098,0.6693571428571433
2009-02-05,10.203,10.647,10.066,10.388,2086483,0,DKS,0.014349674189140241,30.331263514286064,0.9104407698304962,-0.7452738923927065,0.05847144523139414,-16849678.0,11.332164087981118,0.3450508734446884,0.6245000000000003
2009-02-06,11.182,12.74,11.182,12.13,5409869,0,DKS,0.15503042915545684,53.925753327569474,0.9112848661577555,-0.5635408015272159,0.19216362887750782,-11439809.0,11.382990877966769,0.28750840131394567,0.7590714285714288
2009-02-09,11.975,12.353,11.745,12.003,2078264,0,DKS,-0.010525104412751106,52.529024032147255,0.9118326420122377,-0.4248662625126336,0.26467053431367216,-13518073.0,11.401019815668196,0.24654115098331955,0.7431428571428574
2009-02-10,11.745,12.269,11.033,11.293,3083112,0,DKS,-0.06097355380167449,45.4427218408671,0.9107725430186607,-0.3680145152788423,0.25721782523797077,-16601185.0,11.406178019675345,0.2262789287857572,0.7913571428571432
2009-02-11,11.256,11.466,10.718,11.06,1802070,0,DKS,-0.020848068647344325,43.374772923300796,0.9092600800538463,-0.33786554504976074,0.2298934363736419,-18403255.0,11.398850629612271,0.2219748998952305,0.7975000000000003
2009-02-12,10.675,11.569,10.675,11.486,1969091,0,DKS,0.03779390634791605,48.03123655466662,0.9088185695169002,-0.2764113313939287,0.2330781200235792,-16434164.0,11.395109764816183,0.23055482134530078,0.8092857142857145
2009-02-13,11.521,11.708,11.211,11.247,1280147,0,DKS,-0.02102747602022023,45.757792315519694,0.907882229126389,-0.2441789835850141,0.21224837426599508,-17714311.0,11.395010557641625,0.23298202886191072,0.8002142857142859
2009-02-17,10.959,11.172,10.718,10.998,1512514,0,DKS,-0.022387988336261797,43.450304113999564,0.9064493073510267,-0.23600630101580755,0.1763368454681613,-19226825.0,11.387285754733288,0.23041995054619635,0.7971428571428573
2009-02-18,11.033,11.201,10.61,10.756,1545438,0,DKS,-0.02224969967900468,41.271942200417726,0.904556654418861,-0.24621851494573477,0.1328997052305873,-20772263.0,11.37775441895639,0.2289877445081674,0.7846428571428573
2009-02-19,10.934,11.211,10.545,10.657,982755,0,DKS,-0.009246785167799148,40.38005760901881,0.9025523322853674,-0.2593110641507117,0.09584572482048831,-21755018.0,11.37129048196653,0.2291333484991942,0.7979285714285717
2009-02-20,10.396,11.521,10.396,11.402,3384594,0,DKS,0.06757182537057098,49.265218739908555,0.9023879188763021,-0.20718344812440392,0.1183786726774369,-18370424.0,11.361388570930245,0.2308771650985449,0.8299285714285717
2009-02-23,11.466,11.577,10.583,10.61,2192948,0,DKS,-0.0719918259834983,42.08475982983302,0.9004349021460079,-0.22716114556106426,0.0787207801926213,-20563372.0,11.351032301638865,0.2238190988742076,0.8692857142857146
2009-02-24,10.718,11.274,10.574,11.172,1702767,0,DKS,0.05161369545703876,47.88889942039416,0.8999032120998084,-0.19539254787683902,0.08839150230147724,-18860605.0,11.344824739039609,0.21849454138901325,0.8612857142857144
2009-02-25,11.365,11.808,11.068,11.476,2741054,0,DKS,0.026847250036188056,50.763353681329576,0.9001341322614643,-0.14402521296325332,0.11180706977205035,-16119551.0,11.347809424329279,0.21535483606130912,0.8757857142857144
2009-02-26,11.778,11.826,11.256,11.293,1289155,0,DKS,-0.01607483337758526,49.010769577106956,0.8999639554467338,-0.11673712762681632,0.11127612408678988,-17408706.0,11.349256071354104,0.21605521118380394,0.8750000000000001
2009-02-27,11.042,11.745,10.952,11.393,2341497,0,DKS,0.008816066974445683,50.02609541738,0.9000678873202048,-0.08605002797431638,0.11357057899143186,-15067209.0,11.349582966957769,0.2124051281061968,0.7636428571428572
2009-03-02,11.201,11.347,10.647,10.709,2849092,0,DKS,-0.06191462229724083,43.6269417788587,0.8986089961404258,-0.11559090399615535,0.06722376237567432,-17916301.0,11.33725630541424,0.20087871018997686,0.7735000000000001
2009-03-03,10.859,10.906,10.306,10.517,2096719,0,DKS,-0.01809151388084663,42.002763833116454,0.896800807859357,-0.15273442903895074,0.024064189866303154,-20013020.0,11.322173496934582,0.18968606059931586,0.7280714285714287
2009-03-04,10.657,11.024,10.536,10.802,1802427,0,DKS,0.026738306632808,45.26044385887996,0.8957738775482091,-0.157359875393972,0.015550994809025526,-18210593.0,11.313212731035662,0.18205048919672806,0.710857142857143
2009-03-05,10.574,10.959,9.836,10.113,2896008,0,DKS,-0.06590957725066604,39.48607945602666,0.8932118573762189,-0.2141534886305969,-0.03299409474207948,-21106601.0,11.286722667178074,0.18642199307776064,0.7272142857142858
2009-03-06,10.166,10.23,9.639,9.936,2074078,0,DKS,-0.01765719972891041,38.13989790990458,0.8903802270901874,-0.27032907178030996,-0.07133574231343401,-23180679.0,11.261813337175612,0.20128599363119376,0.7339285714285716
2009-03-09,9.798,10.406,9.722,10.084,2005968,0,DKS,0.014785484134550506,39.98241393607919,0.8880568304558125,-0.29945433981179015,-0.08036880827593135,-21174711.0,11.24095563430373,0.1955628218836614,0.7450000000000002
2009-03-10,10.147,11.882,9.4657,11.844,4875284,0,DKS,0.16087140091367136,56.55460764712566,0.8900331826972294,-0.17846183653375647,0.03249895600168187,-16299427.0,11.233728155174093,0.1900396602168047,0.8753785714285716
2009-03-11,11.43,12.666,11.33,12.371,5041245,0,DKS,0.04353361364134983,60.10669866428872,0.8931997924574685,-0.03959350107052373,0.1370938331719317,-11258182.0,11.269717057285865,0.22071357676882858,0.9232357142857144
2009-03-12,12.056,13.165,11.616,13.044,5085808,0,DKS,0.05297323404637814,64.13899090549891,0.8978406620463562,0.1233442945325276,0.24002530301998642,-6172374.0,11.322263865657975,0.2741441720677546,0.9535214285714286
2009-03-13,13.183,13.323,12.399,12.648,4133437,0,DKS,-0.030829158019901833,60.2781931377471,0.9013626018824596,0.21800673502457535,0.26775019480962736,-10305811.0,11.367642393563653,0.29866422258416525,0.9485214285714287
2009-03-16,12.759,12.916,12.022,12.049,2700801,0,DKS,-0.04851743096603152,54.8954054828775,0.903342640375428,0.24190458173458929,0.23331843321571302,-13006612.0,11.386678700024316,0.3060652103049234,0.9623785714285716
2009-03-17,12.095,12.777,11.928,12.749,3434013,0,DKS,0.05647116821484592,59.452301622153065,0.906910332476865,0.31371167437936265,0.2441004206883891,-9572599.0,11.413644028845264,0.3270561206671904,0.9701642857142858
2009-03-18,12.73,13.645,12.491,13.221,4548510,0,DKS,0.03635363737197441,62.223684837214215,0.9114485918586585,0.4040481523844779,0.26754951895480344,-5024089.0,11.467370460932063,0.3539413286274167,1.0118785714285716
2009-03-19,13.385,13.791,13.34,13.701,2599491,0,DKS,0.035662348343011935,64.8544644221783,0.9169225625872767,0.5085106562074646,0.2976096182222321,-2424598.0,11.505277897811377,0.3857529172036405,0.9959500000000002
2009-03-20,13.762,13.791,13.137,13.431,2275507,0,DKS,-0.019903354944033516,62.22923917981605,0.9215265568710695,0.5630210434624274,0.2816960043817559,-4700105.0,11.53497313300556,0.408129174178815,0.9893785714285716
2009-03-23,13.772,14.356,13.016,14.356,2777641,0,DKS,0.0666025053584228,67.1371294306505,0.9280894654764975,0.6731015913862581,0.3134212418444693,-1922464.0,11.578353795112756,0.44070496291823585,1.0422357142857144
2009-03-24,13.654,14.052,12.952,13.663,2770503,0,DKS,-0.04947652392901002,60.766537520157804,0.9327398625101192,0.6963943102281629,0.2693711685490992,-4692967.0,11.61374247441999,0.4529091156989678,1.106307142857143
2009-03-25,13.827,14.025,13.026,13.701,2401432,0,DKS,0.0027773735146207736,60.9851535309006,0.9372740062323113,0.7097388129079665,0.22617253698312217,-2291535.0,11.643840503968223,0.4645619503141588,1.09745
2009-03-26,13.609,14.528,13.6,14.346,2945275,0,DKS,0.046002334833271,64.59169753328848,0.943099190395515,0.7635587074530221,0.22399394522254223,653740.0,11.690078809858171,0.48291430921053685,1.1215214285714288
2009-03-27,14.086,14.346,13.772,14.005,1594585,0,DKS,-0.024056748992170786,61.362153053620695,0.9478664787322988,0.7698214885643555,0.1842053810671005,-940845.0,11.713256282378898,0.48970403481397,1.1136642857142858
2009-03-30,13.609,13.762,12.906,13.118,2543175,0,DKS,-0.06542907584052808,53.823550625466325,0.9503738255633368,0.6951974966878858,0.08766511135250454,-3484020.0,11.737231387442145,0.47106096516264007,1.0195714285714286
2009-03-31,13.248,13.58,12.916,13.165,2637258,0,DKS,0.0035764600767289197,54.14501711494978,0.952885957393879,0.6325582153409322,0.02002066400444069,-846762.0,11.760663527709289,0.4442652515094537,0.9715714285714286
2009-04-01,12.399,13.801,12.399,13.753,2069184,0,DKS,0.043695189184298065,58.07716602754101,0.9566444998059688,0.6231791975865857,0.008513317000075293,1222422.0,11.779728072606408,0.4245216969731688,0.9610714285714287
2009-04-02,14.086,14.972,14.025,14.537,2666734,0,DKS,0.05544014131161719,62.67324117957012,0.9620294347030378,0.6712705176071214,0.045283709616488754,3889156.0,11.822164191727596,0.38705134163768484,0.9821428571428571
