Date,Open,High,Low,Close,Volume,OpenInt,ticker,log_return,rsi_14,ema_50_200_ratio,macd_line,macd_hist,obv,vwap,bb_width,atr_14
2009-01-30,7.0983,7.0983,6.7849,6.878,14395724,0,ROST,-0.023677906360077543,31.93245926509985,0.9960784458692876,-0.012335849917124442,-0.011590925628553387,3141102.0,7.12092419534343,0.09787039779501923,0.2834785714285714
2009-02-02,6.8628,7.0195,6.6876,6.8349,11662015,0,ROST,-0.006286072519097312,31.210491413200046,0.9947864482852781,-0.03525704382061168,-0.027609695625632497,-8520913.0,7.105977219045295,0.10372248297381664,0.2911
2009-02-03,6.8423,6.9651,6.7521,6.8947,9938878,0,ROST,0.008711161018006954,33.45844347465872,0.9938023773146166,-0.04804308412880687,-0.03231658874706215,1417965.0,7.0955070378754845,0.10708459650788643,0.29100714285714285
2009-02-04,6.8695,6.9441,6.5653,6.6054,12347417,0,ROST,-0.042865504186708696,28.59075864608134,0.9916853902739617,-0.08059120022065436,-0.051891763871127705,-10929452.0,7.075050628229823,0.12369368469393222,0.3039928571428571
2009-02-05,6.6636,7.2182,6.6636,7.1613,22701386,0,ROST,0.08080403241529592,45.11446718966319,0.9919461377521266,-0.06082814359494382,-0.025702965796333736,11771934.0,7.069720357671832,0.12407212891866563,0.31220714285714285
2009-02-06,7.1433,7.6856,7.0865,7.6176,17172692,0,ROST,0.061769830720545836,54.434683219846725,0.9940617220972704,-0.008251069103632602,0.021499286955981984,28944626.0,7.094238185560453,0.1365269932522394,0.3366571428571428
2009-02-09,7.6268,7.6621,7.4356,7.5499,9468735,0,ROST,-0.008927041318012776,52.996745171254766,0.9957980183451143,0.027635255003277237,0.045908488850313456,19475891.0,7.109348805819967,0.14749484703367308,0.3290571428571428
2009-02-10,7.4653,7.6386,7.3258,7.3606,10975164,0,ROST,-0.025392866982905594,49.0917573546605,0.9966781645395518,0.040335534517200955,0.04688701469138974,8500727.0,7.121667788823992,0.1473056748808332,0.3246571428571428
2009-02-11,7.4144,7.4306,7.1781,7.297,7685407,0,ROST,-0.008678146373715924,47.81695291283597,0.9972571421803766,0.04475272747520709,0.0410433661195167,815320.0,7.126227944903132,0.14568001663869812,0.3162642857142857
2009-02-12,7.1879,7.4208,7.1341,7.4208,7883877,0,ROST,0.016823563295592522,50.51092174304343,0.9983130547545719,0.05757927207221769,0.04309592857322184,8699197.0,7.131262450267126,0.1426507663509771,0.31989999999999996
2009-02-13,7.4071,7.4892,7.1781,7.1781,9111012,0,ROST,-0.03325214399347138,45.54667226711367,0.9983294369738472,0.047611701348254876,0.026502686279407217,-411815.0,7.135538557647344,0.14242908354354977,0.3270928571428571
2009-02-17,7.0428,7.2044,6.9349,7.084,10871541,0,ROST,-0.013196004165016987,43.75126312911431,0.9979623953727541,0.03175321486824689,0.008515359839519385,-11283356.0,7.133535329568387,0.1430639920522096,0.3296999999999999
