Date,Open,High,Low,Close,Volume,OpenInt,ticker,log_return,rsi_14,ema_50_200_ratio,macd_line,macd_hist,obv,vwap,bb_width,atr_14
2009-01-30,2.22,2.29,2.16,2.19,11020692,0,AMD,-0.004555816535860802,68.42859792892207,0.9843858217411633,-0.07130278497655373,-0.007441533297361358,13893506.0,2.326934113059262,0.44355247450725044,0.2357142857142857
2009-02-02,2.19,2.22,2.07,2.15,8107345,0,AMD,-0.01843370168883802,67.22233492749272,0.9822642134370622,-0.07129076752250096,-0.005943612674646867,5786161.0,2.322370506520683,0.45096353260030475,0.22928571428571431
2009-02-03,2.16,2.23,2.11,2.21,8592114,0,AMD,0.027524673390089936,68.12987147391061,0.980995692245712,-0.06568259695283007,-0.00026835368398077375,14378275.0,2.318737678290377,0.43460076337725423,0.22214285714285717
2009-02-04,2.22,2.51,2.15,2.27,15475226,0,AMD,0.026787315963649982,69.05264335693326,0.9805418286030936,-0.055753886712172296,0.0077282852453416095,29853501.0,2.318344965151701,0.39237765366422395,0.2285714285714286
2009-02-05,2.26,2.44,2.21,2.36,17006760,0,AMD,0.038881787544207264,70.43543873439722,0.9812381212177818,-0.04016012356963783,0.018657638710300864,46860261.0,2.319207331244383,0.3635118254113699,0.22714285714285715
2009-02-06,2.42,2.47,2.33,2.41,12613360,0,AMD,0.02096512846504509,71.20520785518039,0.982530113276574,-0.023496518559736224,0.028256994976161978,59473621.0,2.322045010086727,0.3139089108147552,0.2228571428571429
2009-02-09,2.41,2.41,2.33,2.36,9916567,0,AMD,-0.02096512846504508,69.26308994837004,0.9831436193767971,-0.014161824964403102,0.030073350857196084,49557054.0,2.3231977785389257,0.2601422603907187,0.2078571428571429
2009-02-10,2.36,2.4,2.0,2.11,24514318,0,AMD,-0.11197367154954363,60.39340778198532,0.9806206519942533,-0.026629950210630415,0.014084180488775015,25042736.0,2.3140013057867814,0.23485343257201066,0.2185714285714286
2009-02-11,2.16,2.21,2.09,2.15,11794952,0,AMD,0.018779894651596275,61.248473849973564,0.9787218346397013,-0.03290406599943374,0.006248051759977356,36837688.0,2.309397400119502,0.22506592535907605,0.20714285714285716
2009-02-12,2.18,2.3,2.11,2.28,12085117,0,AMD,0.05870760082677791,63.970885696434515,0.9785445436238365,-0.02707433830120909,0.009662223566561608,48922805.0,2.3071775443996514,0.22598007832319947,0.19428571428571434
