Date,Open,High,Low,Close,Volume,OpenInt,ticker
2009-01-02,13.123,13.735,12.924,13.508,91831787,0,BAC
2009-01-05,13.556,13.719,13.096,13.18,99323589,0,BAC
2009-01-06,13.453,13.966,13.263,13.462,117702919,0,BAC
2009-01-07,13.303,13.321,12.83,12.924,119648926,0,BAC
2009-01-08,13.028,13.19,12.587,12.766,99566544,0,BAC
2009-01-09,12.897,12.991,12.209,12.247,79348270,0,BAC
2009-01-12,12.125,12.164,10.673,10.776,129472526,0,BAC
2009-01-13,10.549,10.606,9.86,10.04,257314661,0,BAC
2009-01-14,9.512,9.879,9.512,9.617,176276949,0,BAC
2009-01-15,9.1454,9.1635,6.9293,7.844,583923649,0,BAC
2009-01-16,8.4753,8.7867,6.5992,6.7689,524127941,0,BAC
2009-01-20,6.1091,6.1279,4.7609,4.8082,437702220,0,BAC
2009-01-21,5.223,6.4863,5.0529,6.2979,464789542,0,BAC
2009-01-22,6.0054,6.0337,5.1852,5.3832,384161450,0,BAC
2009-01-23,5.0625,5.9205,4.9963,5.6472,267799570,0,BAC
2009-01-26,6.0903,6.5805,5.6567,5.6567,283418357,0,BAC
2009-01-27,5.9393,6.2317,5.8451,6.1279,201057405,0,BAC
2009-01-28,7.2029,7.3629,6.6936,6.967,379059751,0,BAC
2009-01-29,6.5613,6.7881,6.3259,6.3921,185543462,0,BAC
2009-01-30,6.4863,6.5239,5.9863,6.2032,233910671,0,BAC
2009-02-02,5.8451,6.2785,5.4868,5.6567,308584964,0,BAC
2009-02-03,5.8073,5.8073,4.8929,4.9963,377109666,0,BAC
2009-02-04,5.1567,5.223,4.3556,4.431,645702292,0,BAC
2009-02-05,4.2989,4.6762,3.5544,4.5629,798287861,0,BAC
2009-02-06,5.0813,6.1183,5.0529,5.7791,765878612,0,BAC
2009-02-09,6.194,6.6467,5.949,6.4957,486751032,0,BAC
2009-02-10,6.4582,6.4957,5.1664,5.2419,642802289,0,BAC
2009-02-11,5.4681,5.7888,5.3832,5.7225,420670882,0,BAC
2009-02-12,5.3927,5.5813,5.0439,5.5341,391189505,0,BAC
2009-02-13,5.3547,5.5341,5.2323,5.2513,253877362,0,BAC
2009-02-17,4.7799,4.9021,4.5912,4.6196,293578077,0,BAC
2009-02-18,4.8646,4.912,4.2519,4.3081,342964249,0,BAC
2009-02-19,3.8275,4.4117,3.6389,3.7052,430201509,0,BAC
2009-02-20,3.4034,3.856,2.3849,3.5729,886950071,0,BAC
2009-02-23,4.0445,4.2236,3.6015,3.6861,542061878,0,BAC
2009-02-24,3.7993,4.4782,3.6389,4.4593,539336240,0,BAC
2009-02-25,4.5346,5.1852,3.9596,4.8646,626825152,0,BAC
2009-02-26,5.2887,5.553,4.8177,5.0157,475614743,0,BAC
2009-02-27,4.0067,4.61,3.7238,3.7238,504416618,0,BAC
2009-03-02,3.4034,3.6955,3.0826,3.4224,458553439,0,BAC
2009-03-03,3.7238,3.8464,3.3658,3.4408,366877615,0,BAC
2009-03-04,3.1866,3.7993,3.1866,3.3843,277656943,0,BAC
2009-03-05,3.2055,3.3092,2.9415,2.9887,299628479,0,BAC
2009-03-06,3.1017,3.3376,2.828,2.9603,298457895,0,BAC
2009-03-09,3.0359,3.5544,3.0169,3.5351,316590097,0,BAC
2009-03-10,4.1009,4.5253,3.9596,4.516,442525996,0,BAC
2009-03-11,4.9963,5.1852,4.2519,4.6479,479372483,0,BAC
2009-03-12,4.6386,5.6472,4.5629,5.5149,578141361,0,BAC
2009-03-13,5.8922,6.0808,5.3267,5.4302,602535219,0,BAC
2009-03-16,5.8641,6.5524,5.6848,5.8261,571155462,0,BAC
2009-03-17,5.7225,5.996,5.4681,5.9111,455590539,0,BAC
2009-03-18,5.996,7.2311,5.8641,7.2311,706148752,0,BAC
2009-03-19,7.9473,8.0795,6.4297,6.5332,660182964,0,BAC
2009-03-20,6.5711,6.5899,5.6378,5.8356,608074005,0,BAC
2009-03-23,6.9483,7.4385,6.505,7.3536,604041806,0,BAC
2009-03-24,6.9009,7.5326,6.6651,6.8067,557430695,0,BAC
2009-03-25,7.3253,7.5326,6.5613,7.2593,658397369,0,BAC
2009-03-26,7.429,7.5041,6.7313,7.1462,508835084,0,BAC
2009-03-27,6.7881,7.297,6.722,6.9201,406177010,0,BAC
2009-03-30,6.3162,6.3636,5.6756,5.6848,514250996,0,BAC
2009-03-31,5.996,6.4957,5.8922,6.4297,445985716,0,BAC
2009-04-01,6.0808,6.8067,6.0714,6.6467,444229007,0,BAC
2009-04-02,7.4007,7.4194,6.6651,6.8256,541805443,0,BAC
2009-04-03,6.6842,7.1744,6.2691,7.165,368662429,0,BAC
2009-04-06,6.8256,7.2029,6.7313,7.0515,306845394,0,BAC
2009-04-07,6.8067,7.1462,6.7974,6.9389,278709238,0,BAC
2009-04-08,7.0612,7.1178,6.5146,6.6558,326718384,0,BAC
2009-04-09,7.6834,9.2865,7.5423,9.0032,1089832117,0,BAC
2009-04-13,8.8618,10.483,8.6355,10.39,724750485,0,BAC
2009-04-14,10.541,10.916,9.4855,9.512,704419773,0,BAC
2009-04-15,9.1264,9.917,8.7392,9.842,588002619,0,BAC
2009-04-16,10.264,10.274,9.674,9.747,405127259,0,BAC
2009-04-17,10.068,10.587,9.71,9.993,515220436,0,BAC
2009-04-20,9.1913,9.3247,7.561,7.561,845234665,0,BAC
2009-04-21,6.7974,8.419,6.5992,8.2584,917604474,0,BAC
2009-04-22,7.9473,8.7112,7.6647,7.7876,656706612,0,BAC
2009-04-23,8.0982,8.4095,7.7591,8.3153,593740986,0,BAC
2009-04-24,8.5412,8.9279,8.2021,8.579,624204293,0,BAC
2009-04-27,8.1644,8.7583,8.1549,8.4095,351513585,0,BAC
2009-04-28,7.5799,8.1831,7.5423,7.6834,493542575,0,BAC
2009-04-29,7.9851,8.3342,7.8816,8.1831,482016317,0,BAC
2009-04-30,8.598,8.7299,8.2964,8.419,363304864,0,BAC
2009-05-01,8.2866,8.5036,8.0608,8.2021,316113332,0,BAC
2009-05-04,8.381,9.851,8.3153,9.787,617877969,0,BAC
2009-05-05,9.682,10.483,9.521,10.22,583889502,0,BAC
2009-05-06,11.247,12.116,10.851,11.964,977042836,0,BAC
2009-05-07,13.907,14.207,12.047,12.737,988527851,0,BAC
2009-05-08,13.417,13.783,12.775,13.36,720489173,0,BAC
2009-05-11,12.82,13.152,12.2,12.2,434644786,0,BAC
2009-05-12,12.473,12.521,11.426,11.559,436581053,0,BAC
2009-05-13,11.247,11.265,10.381,10.381,412810515,0,BAC
2009-05-14,10.2,10.907,10.003,10.663,466794542,0,BAC
2009-05-15,10.69,10.965,9.974,10.059,343330761,0,BAC
2009-05-18,10.89,11.407,10.861,11.058,581951776,0,BAC
2009-05-19,11.265,11.54,10.606,10.606,512787519,0,BAC
2009-05-20,11.2,11.54,10.568,10.833,1269272263,0,BAC
2009-05-21,10.795,11.285,10.558,10.756,620170465,0,BAC
2009-05-22,10.936,10.984,10.135,10.437,532327838,0,BAC
2009-05-26,10.274,10.626,10.191,10.352,524845182,0,BAC
2009-05-27,10.673,10.881,10.284,10.284,572411206,0,BAC
2009-05-28,10.284,10.655,9.965,10.655,491204118,0,BAC
2009-05-29,10.833,10.842,10.342,10.626,390911718,0,BAC
2009-06-01,10.756,11.077,10.568,10.568,370752454,0,BAC
2009-06-02,10.549,10.936,10.464,10.756,329712498,0,BAC
2009-06-03,10.719,10.881,10.502,10.568,250056023,0,BAC
2009-06-04,10.719,11.19,10.558,11.19,334648896,0,BAC
2009-06-05,11.54,11.624,11.18,11.18,391682965,0,BAC
2009-06-08,11.097,11.482,10.994,11.368,260956108,0,BAC
2009-06-09,11.444,11.453,11.247,11.368,214886416,0,BAC
2009-06-10,11.426,11.643,11.247,11.295,346536850,0,BAC
2009-06-11,11.502,12.464,11.492,12.227,557067500,0,BAC
2009-06-12,12.54,13.133,12.473,12.934,473824124,0,BAC
2009-06-15,12.84,12.907,12.408,12.569,365322691,0,BAC
2009-06-16,12.631,12.631,11.991,12.0,391878709,0,BAC
2009-06-17,11.842,12.028,11.331,11.596,470020213,0,BAC
2009-06-18,11.689,12.209,11.633,12.164,360417442,0,BAC
2009-06-19,12.35,12.587,12.097,12.464,459804969,0,BAC
2009-06-22,12.144,12.302,11.256,11.256,458533042,0,BAC
2009-06-23,11.417,11.727,11.247,11.532,379500352,0,BAC
2009-06-24,11.737,11.945,11.482,11.643,353732754,0,BAC
2009-06-25,11.397,11.653,11.323,11.643,349590519,0,BAC
2009-06-26,11.633,12.047,11.569,12.019,361763282,0,BAC
2009-06-29,12.057,12.435,11.804,12.435,351841639,0,BAC
2009-06-30,12.502,12.708,12.2,12.445,323862176,0,BAC
2009-07-01,12.512,12.678,12.292,12.302,257447575,0,BAC
2009-07-02,12.057,12.302,11.898,11.917,228213266,0,BAC
2009-07-06,11.755,11.871,11.162,11.453,399980561,0,BAC
2009-07-07,11.453,11.662,11.265,11.453,291360840,0,BAC
2009-07-08,11.492,11.587,10.626,11.162,604137721,0,BAC
2009-07-09,11.407,11.549,11.162,11.285,288904546,0,BAC
2009-07-10,11.19,11.275,10.916,11.2,224694896,0,BAC
2009-07-13,11.662,12.247,11.569,12.247,413985612,0,BAC
2009-07-14,12.454,12.473,12.057,12.173,287064641,0,BAC
2009-07-15,12.473,12.84,12.35,12.651,392068795,0,BAC
2009-07-16,12.445,12.66,12.274,12.416,325348663,0,BAC
