Date,Open,High,Low,Close,Volume,OpenInt,ticker
2009-01-02,68.344,73.055,68.344,72.38,4043397,0,APA
2009-01-05,72.052,77.914,71.806,75.84,7819961,0,APA
2009-01-06,77.605,80.425,76.772,78.242,8920938,0,APA
2009-01-07,76.482,77.393,73.877,76.444,6207785,0,APA
2009-01-08,76.032,77.623,73.384,74.975,6495548,0,APA
2009-01-09,75.021,75.968,71.996,73.622,4925294,0,APA
2009-01-12,72.344,72.581,67.813,68.688,5985353,0,APA
2009-01-13,68.487,70.143,67.724,69.787,7440452,0,APA
2009-01-14,68.487,68.756,65.065,66.921,6864677,0,APA
2009-01-15,66.58,68.199,63.768,67.789,7212820,0,APA
2009-01-16,69.058,70.454,66.124,68.024,6915503,0,APA
2009-01-20,66.801,68.802,63.705,64.014,5511580,0,APA
2009-01-21,65.722,68.469,64.536,68.308,6382584,0,APA
2009-01-22,66.673,69.34,65.931,67.32,7287477,0,APA
2009-01-23,65.615,70.564,65.294,68.545,4911507,0,APA
2009-01-26,69.603,73.494,69.468,71.53,5897497,0,APA
2009-01-27,71.1,71.221,68.9,70.151,4813460,0,APA
2009-01-28,71.413,72.142,69.35,71.796,6548423,0,APA
2009-01-29,70.135,71.54,69.411,70.608,5753729,0,APA
2009-01-30,72.142,72.482,67.943,68.487,6205389,0,APA
2009-02-02,66.289,68.251,66.208,67.203,5546798,0,APA
2009-02-03,67.84,69.358,66.939,68.974,5737474,0,APA
2009-02-04,69.35,71.25,68.583,69.43,6778071,0,APA
2009-02-05,68.81,71.43,67.53,71.156,6437424,0,APA
2009-02-06,70.041,72.482,69.401,71.904,4495718,0,APA
2009-02-09,70.671,73.322,70.343,72.498,4964917,0,APA
2009-02-10,73.065,73.696,67.84,68.679,7309909,0,APA
2009-02-11,69.075,70.107,65.055,66.518,6632094,0,APA
2009-02-12,65.341,67.212,64.471,66.764,5147693,0,APA
2009-02-13,66.325,68.436,66.325,66.939,3990417,0,APA
2009-02-17,65.265,65.265,62.097,62.235,6896851,0,APA
2009-02-18,62.839,63.257,60.27,61.263,6311588,0,APA
2009-02-19,60.088,61.988,60.063,60.885,7093596,0,APA
2009-02-20,59.668,60.19,56.344,58.297,7510726,0,APA
2009-02-23,59.495,59.568,54.264,54.336,5697019,0,APA
2009-02-24,54.51,55.895,53.731,55.268,8808726,0,APA
2009-02-25,54.965,56.465,53.239,54.517,7122501,0,APA
2009-02-26,55.329,57.119,54.618,54.636,5440818,0,APA
2009-02-27,53.084,55.806,52.49,53.963,6668473,0,APA
2009-03-02,52.947,53.496,47.569,47.806,8699391,0,APA
2009-03-03,48.603,50.128,47.686,48.291,7922423,0,APA
2009-03-04,49.796,52.545,49.567,51.487,8382240,0,APA
2009-03-05,50.327,52.436,48.921,49.587,6771785,0,APA
2009-03-06,50.161,51.314,47.177,48.819,7394625,0,APA
2009-03-09,48.009,49.595,46.6,46.921,6980490,0,APA
2009-03-10,47.686,50.663,47.686,49.825,6383678,0,APA
2009-03-11,49.496,52.581,49.266,51.724,6723002,0,APA
2009-03-12,52.053,54.765,52.053,54.564,6557573,0,APA
2009-03-13,54.792,55.942,54.089,55.651,6177120,0,APA
2009-03-16,55.541,58.901,54.608,56.829,7256097,0,APA
2009-03-17,56.782,59.074,55.788,59.01,6617925,0,APA
2009-03-18,57.796,60.088,55.933,59.276,6713177,0,APA
2009-03-19,60.965,64.189,60.727,61.405,7159086,0,APA
2009-03-20,61.842,62.19,58.919,59.232,5170277,0,APA
2009-03-23,60.991,64.516,60.665,64.516,5829902,0,APA
2009-03-24,62.691,63.741,61.431,62.325,4136111,0,APA
2009-03-25,62.583,63.128,59.916,61.732,5406067,0,APA
2009-03-26,62.637,64.135,60.894,62.382,5246300,0,APA
2009-03-27,60.744,61.185,59.065,60.244,4192377,0,APA
2009-03-30,58.409,58.508,56.619,57.951,4315210,0,APA
2009-03-31,58.748,59.815,58.261,58.525,4111449,0,APA
2009-04-01,56.729,60.829,56.729,60.335,4474326,0,APA
2009-04-02,62.555,63.466,61.768,62.025,5710051,0,APA
2009-04-03,61.961,63.302,61.093,62.097,5211644,0,APA
2009-04-06,61.149,61.302,59.213,60.18,3849003,0,APA
2009-04-07,59.003,59.441,57.075,57.285,4005204,0,APA
2009-04-08,57.44,60.033,56.253,59.787,4507365,0,APA
2009-04-09,61.642,63.165,61.321,62.937,4966302,0,APA
2009-04-13,61.503,64.07,60.709,63.448,4028223,0,APA
2009-04-14,62.937,63.823,61.387,62.235,5317005,0,APA
2009-04-15,61.732,62.429,60.014,61.475,4491928,0,APA
2009-04-16,61.896,62.516,60.19,62.106,3561875,0,APA
2009-04-17,62.106,63.731,62.097,63.094,4007373,0,APA
2009-04-20,61.578,61.578,59.403,59.706,3862341,0,APA
2009-04-21,58.881,60.472,57.724,60.317,4062071,0,APA
2009-04-22,59.367,61.302,59.065,59.942,2888154,0,APA
2009-04-23,60.683,61.568,60.08,61.422,3880498,0,APA
2009-04-24,62.181,63.33,62.181,63.085,4060392,0,APA
2009-04-27,61.441,62.973,60.965,62.235,2879573,0,APA
2009-04-28,61.466,62.882,60.829,62.143,3260493,0,APA
2009-04-29,62.757,64.629,62.392,63.768,3743049,0,APA
2009-04-30,65.76,67.933,65.193,66.536,7805180,0,APA
2009-05-01,66.847,71.128,66.39,70.289,5294310,0,APA
2009-05-04,70.636,73.23,70.444,73.23,5197161,0,APA
2009-05-05,72.363,73.191,70.217,72.454,5084023,0,APA
2009-05-06,74.198,76.115,73.422,75.384,5440642,0,APA
2009-05-07,76.406,78.279,73.181,74.388,6622954,0,APA
2009-05-08,75.339,78.428,75.021,77.522,5103761,0,APA
2009-05-11,75.858,75.878,73.44,74.738,4166535,0,APA
2009-05-12,76.272,76.272,72.344,74.362,4797335,0,APA
2009-05-13,73.103,73.576,70.564,71.23,3973864,0,APA
2009-05-14,70.598,72.709,69.74,71.806,3946175,0,APA
2009-05-15,71.376,72.142,69.439,69.961,3541151,0,APA
2009-05-18,71.338,72.681,71.312,72.334,3614770,0,APA
2009-05-19,72.152,73.622,71.43,72.454,3271797,0,APA
2009-05-20,73.714,76.223,73.165,73.788,5104314,0,APA
2009-05-21,72.608,72.608,70.107,71.457,4332286,0,APA
2009-05-22,71.77,72.553,70.976,71.073,2519713,0,APA
2009-05-26,70.179,72.946,68.994,72.654,3378210,0,APA
2009-05-27,72.892,74.48,72.437,72.663,3576721,0,APA
2009-05-28,72.654,76.435,72.654,75.815,4771972,0,APA
2009-05-29,77.477,77.623,75.959,76.945,3895935,0,APA
2009-06-01,78.389,79.487,78.007,78.533,4725368,0,APA
2009-06-02,78.152,78.517,76.818,78.142,3528592,0,APA
2009-06-03,77.43,77.43,74.153,75.192,4350077,0,APA
2009-06-04,76.435,76.837,74.782,76.052,4281696,0,APA
2009-06-05,76.654,77.156,74.354,75.119,3831921,0,APA
2009-06-08,74.215,76.425,74.023,75.832,3244713,0,APA
2009-06-09,76.937,77.173,75.357,76.435,3671255,0,APA
2009-06-10,77.788,77.788,75.458,76.699,3664982,0,APA
2009-06-11,76.991,79.185,76.609,77.932,4321233,0,APA
2009-06-12,77.009,77.549,76.187,76.893,2900329,0,APA
2009-06-15,76.032,76.253,73.906,74.9,4310292,0,APA
2009-06-16,76.178,76.178,72.838,73.432,3953213,0,APA
2009-06-17,72.937,73.256,70.807,72.043,4912850,0,APA
2009-06-18,72.108,72.918,70.791,71.128,4875160,0,APA
2009-06-19,72.116,72.244,68.487,68.802,6199347,0,APA
2009-06-22,67.093,67.375,64.775,64.836,5503072,0,APA
2009-06-23,65.265,66.271,64.225,65.037,6979326,0,APA
2009-06-24,65.493,67.22,64.746,65.237,4541554,0,APA
2009-06-25,65.13,67.587,64.82,66.855,4466897,0,APA
2009-06-26,66.654,67.011,65.787,65.95,4082926,0,APA
2009-06-29,67.056,67.293,65.787,66.234,3114999,0,APA
2009-06-30,66.298,67.404,64.726,65.888,4023544,0,APA
2009-07-01,66.51,67.339,64.746,64.92,3930813,0,APA
2009-07-02,63.805,64.07,62.718,63.011,4643808,0,APA
2009-07-06,61.414,61.741,59.888,61.651,4504676,0,APA
2009-07-07,61.998,61.998,60.456,60.629,4513981,0,APA
2009-07-08,60.78,61.998,59.376,60.38,7037752,0,APA
2009-07-09,62.044,63.457,61.431,63.085,5920916,0,APA
2009-07-10,61.705,62.545,61.075,62.143,3842610,0,APA
2009-07-13,62.19,63.348,60.81,63.257,3753364,0,APA
2009-07-14,63.925,65.139,63.833,64.974,4529906,0,APA
2009-07-15,66.124,68.451,66.024,68.097,6328999,0,APA
2009-07-16,66.939,69.2,66.673,68.785,3758920,0,APA
2009-07-17,68.644,69.778,67.962,68.946,3825725,0,APA
2009-07-20,69.586,70.929,69.257,70.729,3913771,0,APA
2009-07-21,71.466,71.64,69.448,70.845,3729427,0,APA
2009-07-22,70.079,70.536,69.166,69.759,3412479,0,APA
2009-07-23,69.795,72.525,69.795,72.389,3569688,0,APA
2009-07-24,71.656,72.828,71.457,72.828,2374563,0,APA
2009-07-27,73.055,73.123,71.786,73.084,2559489,0,APA
2009-07-28,71.676,71.942,70.041,71.742,3560584,0,APA
2009-07-29,70.197,71.221,68.974,71.156,4905154,0,APA
2009-07-30,73.963,75.732,73.593,75.148,6025543,0,APA
2009-07-31,74.362,77.596,74.354,76.663,5182604,0,APA
2009-08-03,77.834,79.76,77.659,79.074,4537361,0,APA
2009-08-04,79.487,80.5,77.834,79.959,4339011,0,APA
2009-08-05,79.968,80.637,79.111,79.559,4968109,0,APA
2009-08-06,79.959,79.959,78.317,79.267,3659505,0,APA
2009-08-07,79.95,80.735,79.012,79.506,4271281,0,APA
2009-08-10,79.32,80.78,78.542,80.725,3296290,0,APA
2009-08-11,80.5,80.5,78.398,78.719,2730101,0,APA
2009-08-12,78.36,80.452,78.36,79.677,2750882,0,APA
2009-08-13,80.617,80.928,78.994,80.3,2989225,0,APA
2009-08-14,80.024,80.271,78.289,79.365,2037880,0,APA
2009-08-17,77.623,77.711,76.042,76.753,2692830,0,APA
2009-08-18,76.971,78.889,76.718,78.353,2912213,0,APA
2009-08-19,76.902,80.327,76.902,79.238,2992937,0,APA
2009-08-20,79.248,79.867,78.325,78.408,3677841,0,APA
2009-08-21,79.32,81.357,78.644,81.155,3986467,0,APA
2009-08-24,82.086,82.516,80.3,80.691,3203421,0,APA
2009-08-25,80.973,81.494,78.36,78.774,3226246,0,APA
2009-08-26,78.105,78.879,77.055,78.297,3530639,0,APA
2009-08-27,77.439,79.32,76.709,78.936,3094537,0,APA
2009-08-28,79.42,80.024,78.251,79.724,3138350,0,APA
2009-08-31,78.353,78.517,76.937,77.576,2773536,0,APA
2009-09-01,76.689,78.297,75.868,76.115,3208753,0,APA
2009-09-02,75.996,76.689,75.375,75.941,2860593,0,APA
2009-09-03,76.352,76.809,75.157,75.916,3506803,0,APA
2009-09-04,75.54,76.902,75.423,76.737,1976088,0,APA
2009-09-08,78.551,79.575,78.152,78.682,3691448,0,APA
2009-09-09,79.449,80.335,79.138,79.867,4420344,0,APA
2009-09-10,80.16,82.341,79.677,82.105,4226408,0,APA
2009-09-11,82.926,85.238,82.615,83.439,7294843,0,APA
2009-09-14,82.508,83.969,82.314,83.448,3991400,0,APA
2009-09-15,83.878,84.251,82.588,83.584,5308510,0,APA
2009-09-16,84.334,86.69,83.878,86.434,4610594,0,APA
2009-09-17,86.151,87.459,85.339,86.115,5339800,0,APA
2009-09-18,86.462,86.7,85.182,86.014,4134687,0,APA
2009-09-21,83.383,84.443,82.846,84.069,3446445,0,APA
2009-09-22,85.475,85.475,84.296,85.029,3366101,0,APA
2009-09-23,85.074,85.32,82.873,83.092,3354900,0,APA
2009-09-24,83.758,84.324,82.754,83.574,5256973,0,APA
2009-09-25,84.719,85.32,82.635,83.996,5509133,0,APA
2009-09-28,83.904,84.973,83.512,84.655,3313220,0,APA
2009-09-29,84.382,84.79,82.909,83.584,3950835,0,APA
2009-09-30,84.289,84.928,82.644,83.861,5146077,0,APA
2009-10-01,83.549,84.041,81.595,81.822,5076406,0,APA
2009-10-02,80.828,83.01,80.416,82.143,4253370,0,APA
2009-10-05,81.795,84.973,81.576,84.481,4631101,0,APA
2009-10-06,85.705,88.908,85.594,88.123,7493545,0,APA
