Date,Open,High,Low,Close,Volume,OpenInt,ticker
2009-01-02,6.81,8.12,6.81,7.69,187703,0,DAC
2009-01-05,7.66,8.5,7.4,8.11,265628,0,DAC
2009-01-06,8.12,9.49,8.12,9.32,246067,0,DAC
2009-01-07,9.24,9.39,8.65,8.83,366318,0,DAC
2009-01-08,8.91,9.69,8.75,9.46,172803,0,DAC
2009-01-09,9.93,10.5,9.86,10.16,404804,0,DAC
2009-01-12,10.17,10.34,8.27,8.58,427437,0,DAC
2009-01-13,8.39,8.85,8.01,8.81,173258,0,DAC
2009-01-14,8.57,8.83,7.73,8.27,150159,0,DAC
2009-01-15,8.03,8.37,7.33,7.81,203963,0,DAC
2009-01-16,8.14,8.15,7.61,7.8,113012,0,DAC
2009-01-20,7.5,7.64,7.0,7.05,170525,0,DAC
2009-01-21,8.04,8.04,7.05,7.6,186221,0,DAC
2009-01-22,7.6,8.93,7.21,8.6,252626,0,DAC
2009-01-23,8.33,8.42,7.69,7.8,204958,0,DAC
2009-01-26,7.76,8.48,7.75,8.11,145442,0,DAC
2009-01-27,8.01,8.71,8.01,8.66,172997,0,DAC
2009-01-28,8.99,9.71,8.57,9.47,248553,0,DAC
2009-01-29,9.25,9.25,8.51,8.53,167537,0,DAC
2009-01-30,8.35,8.75,7.54,7.82,238204,0,DAC
2009-02-02,7.53,7.75,7.15,7.15,197583,0,DAC
2009-02-03,7.34,8.03,6.81,7.41,461420,0,DAC
2009-02-04,7.6,7.6,6.39,6.78,628456,0,DAC
2009-02-05,6.93,7.16,5.92,6.35,409543,0,DAC
2009-02-06,6.37,7.23,6.21,7.15,317606,0,DAC
2009-02-09,7.15,7.37,6.8,6.99,263243,0,DAC
2009-02-10,6.88,7.06,6.16,6.32,269352,0,DAC
2009-02-11,6.41,6.47,5.85,6.03,251784,0,DAC
2009-02-12,5.87,5.91,5.5,5.91,226450,0,DAC
2009-02-13,5.91,6.05,5.7,5.71,125326,0,DAC
2009-02-17,5.44,5.57,5.01,5.16,229054,0,DAC
2009-02-18,5.2,5.21,4.72,4.9,400038,0,DAC
2009-02-19,4.96,5.22,4.49,4.8,164468,0,DAC
2009-02-20,4.77,4.77,3.85,4.22,547886,0,DAC
2009-02-23,4.34,4.5,4.0,4.07,519490,0,DAC
2009-02-24,3.99,4.61,3.85,4.37,352384,0,DAC
2009-02-25,4.4,4.61,4.27,4.45,270889,0,DAC
2009-02-26,4.5,4.68,4.21,4.39,517671,0,DAC
2009-02-27,4.23,4.84,4.18,4.47,503399,0,DAC
2009-03-02,4.32,4.32,3.15,3.25,797949,0,DAC
2009-03-03,3.51,3.59,3.0,3.07,622032,0,DAC
2009-03-04,3.23,4.19,3.23,3.86,553275,0,DAC
2009-03-05,3.78,3.78,3.11,3.11,312586,0,DAC
2009-03-06,3.2,3.63,3.18,3.32,312282,0,DAC
2009-03-09,3.3,3.71,3.29,3.33,725806,0,DAC
2009-03-10,3.53,4.15,3.5,3.99,411304,0,DAC
2009-03-11,4.56,4.64,4.06,4.47,444067,0,DAC
2009-03-12,3.9,3.9,3.03,3.61,875691,0,DAC
2009-03-13,3.75,3.85,3.39,3.48,242373,0,DAC
2009-03-16,3.61,3.92,3.45,3.68,249587,0,DAC
2009-03-17,3.62,3.76,3.49,3.71,138321,0,DAC
2009-03-18,3.62,3.99,3.54,3.87,170873,0,DAC
2009-03-19,3.99,4.08,3.7,3.87,171253,0,DAC
2009-03-20,3.84,3.84,3.2,3.2,241387,0,DAC
2009-03-23,3.55,3.75,3.51,3.67,235007,0,DAC
2009-03-24,3.56,3.75,3.4,3.42,172719,0,DAC
2009-03-25,3.48,3.94,3.42,3.64,281187,0,DAC
2009-03-26,3.58,3.95,3.51,3.75,465136,0,DAC
2009-03-27,3.75,3.75,3.43,3.57,181425,0,DAC
2009-03-30,3.39,3.41,3.01,3.09,293778,0,DAC
2009-03-31,3.11,3.41,3.11,3.34,190311,0,DAC
2009-04-01,3.3,3.57,3.3,3.52,116769,0,DAC
2009-04-02,3.79,3.82,3.61,3.82,181904,0,DAC
2009-04-03,3.73,3.88,3.55,3.8,177670,0,DAC
2009-04-06,3.64,3.64,3.43,3.55,145414,0,DAC
2009-04-07,3.42,3.45,3.35,3.35,241981,0,DAC
2009-04-08,3.37,3.51,3.37,3.49,179519,0,DAC
2009-04-09,3.69,3.84,3.64,3.75,390975,0,DAC
2009-04-13,3.78,3.85,3.51,3.79,343333,0,DAC
2009-04-14,3.88,4.34,3.65,3.75,453947,0,DAC
2009-04-15,3.86,3.86,3.6,3.81,153645,0,DAC
2009-04-16,3.8,4.68,3.8,4.56,360078,0,DAC
2009-04-17,4.71,5.34,4.66,5.0,845682,0,DAC
2009-04-20,5.1,5.34,4.1,4.28,623424,0,DAC
2009-04-21,4.21,4.7,3.95,4.66,380017,0,DAC
2009-04-22,4.6,4.98,4.35,4.54,286654,0,DAC
2009-04-23,4.64,4.67,4.19,4.31,174105,0,DAC
2009-04-24,4.22,4.31,4.02,4.11,310469,0,DAC
2009-04-27,4.0,4.17,3.8,3.8,310892,0,DAC
2009-04-28,3.83,4.16,3.76,4.14,248491,0,DAC
2009-04-29,4.36,4.87,3.97,4.03,371896,0,DAC
2009-04-30,4.22,4.4,3.94,4.2,293901,0,DAC
